sample_idx,tweet_pos,tweet_id,text,n_raters,majority_label,majority_vote_count,majority_vote_share,is_tie,tied_labels,label_counts_json
18,0,1475246429920800779,"@[user] 👏👏👏😂😂😂#energija...
#NisamPrijavila jer me niko nikad nije zlostavljao posto sam sama, a sebe niko ne prijavljuje...",7,Emocionalno neutralno,3,0.4286,false,,"{""radost"": 2, ""Emocionalno neutralno"": 3, ""Ne mogu da razumem"": 2}"
18,1,1475464657313972224,"#NisamPrijavila i ne znam da li ću ikada.
Zato što se bojim za svoj život.
Zato što sam godinama psihički zlostavljana i ne znam da li imam snage da prijavim.
Zato što je mala opština i poznaje sve policajce koji su mu i prijatelji.
Zato što me nije nikada 'jako' udario, kako  ⬇️",7,strah,7,1.0000,false,,"{""strah"": 7}"
18,2,1475199244525056006,"Zastrasujuca i porazavajuca je kolicina  #nisamprijavila tvitova. 😔

NE znaci NE, i tu nema nikakve polemike, to mora da se utuvi muskarcima u glavu od malena",7,bes,3,0.4286,false,,"{""bes"": 3, ""tuga"": 2, ""strah"": 1, ""Ne mogu da razumem"": 1}"
18,3,1475378419517075457,"#nisamprijavila Jebem li vam svima majku koji ste svaku zenu dotakli mimo njihove volje!! Vratice se vasim cerkama,sestrama....",7,bes,6,0.8571,false,,"{""bes"": 6, ""radost"": 1}"
18,4,1478124060903198733,"@[user] ali i ti se mešaš u stvari koje očigledno ne razumeš. ne podržavaš #nisamprijavila i pošto te očigledno boli kurac, samo pokazuješ time da si i ti deo problema i ovo nije prvi put da komentarišeš nešto ovako. ako ne razumeš o čemu pričaš, nemoj se ni mešati.",7,bes,5,0.7143,false,,"{""bes"": 5, ""Emocionalno neutralno"": 2}"
18,5,1475149478285905920,"Iskreno citam #nisamprijavila i mogu vam reći Moje ♥️ JE sa Vama. Ja ne mogu da verujem kolilo tih slucajeva postoji i ko sve živi u nasoj blizini.

Drzite se.",7,poverenje,4,0.5714,false,,"{""poverenje"": 4, ""tuga"": 1, ""iznenađenje"": 1, ""Emocionalno neutralno"": 1}"
18,6,1476929713465667586,"Taj pakao ne može da se prekine, samo se produbljuje i nema kraja.

Neću da ti dam da vodiš dete nigde, ubiću te… Osećaj krivice… Možda stvarno završi kao neka od žena… 

#Nisamprijavila jer dolaziće policija, porodicu svi znaju…

I da, #samesmo",7,strah,3,0.4286,false,,"{""bes"": 2, ""tuga"": 1, ""strah"": 3, ""Emocionalno neutralno"": 1}"
18,7,1475093978076917768,"#NisamPrijavila jer smo bili u vezi i ""voleli se"", a i zato što to nisam tada razumela..Pa šta ako smo se posvađali toliko da je njemu bilo ok da mi stavi ruke oko vrata da me davi? Pa šta ako smo se tukli u hodniku zgrade? Pa šta ako niko nije otvorio vrata i pozvao policiju?",7,bes,2,0.2857,false,,"{""bes"": 2, ""tuga"": 1, ""strah"": 1, ""iščekivanje"": 1, ""Emocionalno neutralno"": 1, ""Ne mogu da razumem"": 1}"
18,8,1475078474268389377,"što pre došlo do reforme istog, u kom su institicijalizovana mizoginija i princip ""slika, ili se nije desilo"" i te kako prisutni. ovim putem želim istovremeno da pružim ogromnu podršku za hrabrost svim #nisamprijavila i #nisisama žrtvama! zajedno smo u ovome! &lt;3",7,poverenje,4,0.5714,false,,"{""poverenje"": 4, ""radost"": 1, ""Emocionalno neutralno"": 1, ""Ne mogu da razumem"": 1}"
18,9,1475048580058693637,"#nisamprijavila .... roman veka, pisan od strane žena koje srećemo, poznajemo, rod su nam, roman namenjen nama, muškarcima. Njima veeeliko ♥️, nama jak stomak i preispitivanje, iskreno.",7,radost,4,0.5714,false,,"{""poverenje"": 1, ""radost"": 4, ""Emocionalno neutralno"": 1, ""Ne mogu da razumem"": 1}"
18,10,1475547952278028291,@[user] @[user] Evo ti hashtag #NisamPrijavila. Što čekaš. Reagiraj. Bori se.,7,Emocionalno neutralno,3,0.4286,false,,"{""iščekivanje"": 2, ""Emocionalno neutralno"": 3, ""Ne mogu da razumem"": 2}"
18,11,1475179009910747136,"Pročitao 20-ak priča #NisamPrijavila i došao do jednostavnog zaključka živimo u društvu jebenih manijaka. Komšije i rođaci pedofili, muževi i momci posesivni ludaci, gomila uticajnih i uglađenih muškaraca su zapravo teško dno.",7,gađenje,6,0.8571,false,,"{""iznenađenje"": 1, ""gađenje"": 6}"
18,12,1475447123437146117,#nisamprijavila jer se u podrumu nalazi ta osoba privezana za stolcu i moli boga svaki dan da ga pustim. Ja kao balerina plešem okolo njega i udarim da magičnim štapićem i kažem “ne danas”!!,7,Ne mogu da razumem | bes,3,0.4286,true,Ne mogu da razumem | bes,"{""bes"": 3, ""Emocionalno neutralno"": 1, ""Ne mogu da razumem"": 3}"
18,13,1475365621261115394,"Kako ovakve situacije #NisamPrijavila uvek izbace na povrsinu pravi talog i one skivene bolesnike, ogole ih sami se jave kao najveci sljam. Tuga je jos veca jer je mnogo zena medju njima",7,gađenje,5,0.7143,false,,"{""tuga"": 2, ""gađenje"": 5}"
18,14,1475414698283700225,@[user] Samo se ti zajebavaj posle ce da bude #nisamprijavila a muz ti brani😂😂,7,Emocionalno neutralno,3,0.4286,false,,"{""tuga"": 1, ""iščekivanje"": 1, ""Emocionalno neutralno"": 3, ""Ne mogu da razumem"": 2}"
18,15,1475935248328413195,"Razumijem sve razloge onih koje kazu #NisamPrijavila, ali #ProcjenaRizika je upozoravajuca.. 
Zene ubijaju, zar ne ?!",7,Ne mogu da razumem,2,0.2857,false,,"{""tuga"": 1, ""iznenađenje"": 1, ""strah"": 1, ""iščekivanje"": 1, ""Emocionalno neutralno"": 1, ""Ne mogu da razumem"": 2}"
18,16,1475724041386401794,Srecna sam sto nemam licno iskustvo na temu #NisamPrijavila. Ne znam da li me vise plase podeljena iskustva ili komentari manijaka.,7,strah,4,0.5714,false,,"{""iznenađenje"": 2, ""strah"": 4, ""radost"": 1}"
18,17,1476241765032251393,"@[user] Ето зашто #NisamPrijavila !!!
Ужас је блага реч.",7,gađenje,4,0.5714,false,,"{""bes"": 2, ""gađenje"": 4, ""Ne mogu da razumem"": 1}"
18,18,1475419654587879424,"Je li se ijedan jedini akter političkog života u CG uključio u dijalog oko #NisamPrijavila, ili se javljaju samo kad im je oportunitetno? Institucije ne moram ni da pominjem.",7,gađenje,4,0.5714,false,,"{""bes"": 2, ""gađenje"": 4, ""iščekivanje"": 1}"
